Checking_Amt,Duration,Credit_History,Purpose,Credit_Amt,Savings_Amt,Employement,Installment_Rate,Personal_status, debtors/guarantors,Residence,Property,Age,Install_plans,Housing,No.of_credits,Job_type,No.of_people,Telephone,Foreigner,Credit_Risk
little,6,critical account,radio/television,1169,NA,Master,4,male,none,4,real estate,67,none,Own,2,skilled employee,1,Yes,Yes,1
Moderate,48,existing credits paid back duly,radio/television,5951,little,Professional,2,female,none,2,real estate,22,none,Own,1,skilled employee,1,None,Yes,2
NA,12,critical account,education,2096,little,Expert,2,male,none,3,real estate,49,none,Own,1,unskilled,2,None,Yes,1
little,42,existing credits paid back duly,furniture/equipment,7882,little,Expert,2,male,guarantor,4,building society savings agreement/ life insurance,45,none,For Free,1,skilled employee,2,None,Yes,1
little,24,delay in paying off in the past,car (new),4870,little,Professional,3,male,none,4, unknown / no property,53,none,For Free,2,skilled employee,2,None,Yes,2
NA,36,existing credits paid back duly,education,9055,NA,Professional,2,male,none,4, unknown / no property,35,none,For Free,1,unskilled,2,Yes,Yes,1
NA,24,existing credits paid back duly,furniture/equipment,2835,Quite Rich,Master,3,male,none,4,building society savings agreement/ life insurance,53,none,Own,1,skilled employee,1,None,Yes,1
Moderate,36,existing credits paid back duly,car (used),6948,little,Professional,2,male,none,2,car or other,35,none,Rent,1,qualified employee,1,Yes,Yes,1
NA,12,existing credits paid back duly,radio/television,3059,Rich,Expert,2,male,none,4,real estate,61,none,Own,1,unskilled,1,None,Yes,1
Moderate,30,critical account,car (new),5234,little,Unemployed,4,male,none,2,car or other,28,none,Own,2,qualified employee,1,None,Yes,2
Moderate,12,existing credits paid back duly,car (new),1295,little,amateur,3,female,none,1,car or other,25,none,Rent,1,skilled employee,1,None,Yes,2
little,48,existing credits paid back duly,business,4308,little,amateur,3,female,none,4,building society savings agreement/ life insurance,24,none,Rent,1,skilled employee,1,None,Yes,2
Moderate,12,existing credits paid back duly,radio/television,1567,little,Professional,1,female,none,1,car or other,22,none,Own,1,skilled employee,1,Yes,Yes,1
little,24,critical account,car (new),1199,little,Master,4,male,none,4,car or other,60,none,Own,2,unskilled,1,None,Yes,2
little,15,existing credits paid back duly,car (new),1403,little,Professional,2,female,none,4,car or other,28,none,Rent,1,skilled employee,1,None,Yes,1
